Table Q1.  New Privately Owned Housing Units Started in the United States by Purpose and Design,,,,,,,,,,,,,,,,,,,
[Thousands of units.  Detail may not add to totals due to rounding],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Single-family units,,,,,,,,,,,,,,,,,,,
Period,,Total1,Purpose of construction,,,,Design type,,Square feet of floor area,,,,,,,,,,
,,,Built for sale,,Contractor,Owner,,,,,,,,,,,,,
2017:  1st quarter,,181 ,144 ,140 ,22 ,9 ,158 ,23 ,"2,392 ","2,628 ",,,,,,,,,
2nd quarter,,238 ,180 ,175 ,32 ,18 ,212 ,25 ,"2,385 ","2,618 ",,,,,,,,,
3rd quarter,,230 ,168 ,162 ,33 ,18 ,203 ,27 ,"2,373 ","2,576 ",,,,,,,,,
4th quarter,,200 ,148 ,142 ,29 ,11 ,171 ,29 ,"2,374 ","2,573 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2018:  1st quarter,,195 ,158 ,154 ,21 ,10 ,171 ,24 ,"2,435 ","2,639 ",,,,,,,,,
2nd quarter,(r),257 ,194 ,188 ,34 ,16 ,220 ,37 ,"2,346 ","2,551 ",,,,,,,,,
3rd quarter,(p),238 ,172 ,166 ,38 ,16 ,205 ,33 ,"2,320 ","2,495 ",,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
RSE (%),,2 ,4 ,4 ,11 ,14 ,2 ,10 ,2 ,2 ,,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Units in buildings with 2 units or more,,,,,,,,,,,,,,,,,,,
Period,,Total,Purpose of construction,,Number of units per building,,,,Square feet per unit,,,,,,,,,,
,,,For,For,2 to 4,5 to 9,10 to 19,20 units,,,,,,,,,,,
,,,sale3,rent,units,units,units,or more,Median,Average,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ANNUAL DATA:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2015,,397 ,26 ,372 ,12 ,19 ,34 ,333 ,"1,066 ","1,152 ",,,,,,,,,
2016,,392 ,28 ,364 ,11 ,17 ,37 ,327 ,"1,105 ","1,171 ",,,,,,,,,
2017,,354 ,23 ,331 ,11 ,15 ,32 ,296 ,"1,105 ","1,157 ",,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
RSE (%),,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
QUARTERLY DATA:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2015:  1st quarter,,75 ,4 ,71 ,3 ,4 ,7 ,61 ,"1,125 ","1,247 ",,,,,,,,,
2nd quarter,,115 ,9 ,106 ,4 ,5 ,9 ,98 ,"1,031 ","1,103 ",,,,,,,,,
3rd quarter,,115 ,8 ,107 ,3 ,7 ,10 ,95 ,"1,039 ","1,116 ",,,,,,,,,
4th quarter,,93 ,5 ,88 ,3 ,4 ,10 ,75 ,"1,087 ","1,143 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2016:  1st quarter,,79 ,6 ,72 ,3 ,4 ,8 ,64 ,"1,094 ","1,193 ",,,,,,,,,
2nd quarter,,105 ,7 ,99 ,3 ,4 ,13 ,84 ,"1,087 ","1,166 ",,,,,,,,,
3rd quarter,,106 ,9 ,98 ,4 ,5 ,9 ,90 ,"1,091 ","1,143 ",,,,,,,,,
4th quarter,,102 ,6 ,96 ,2 ,5 ,8 ,86 ,"1,131 ","1,186 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2017:  1st quarter,,86 ,4 ,82 ,2 ,3 ,7 ,74 ,"1,085 ","1,133 ",,,,,,,,,
2nd quarter,,90 ,8 ,82 ,3 ,3 ,10 ,73 ,"1,126 ","1,163 ",,,,,,,,,
3rd quarter,,89 ,4 ,85 ,3 ,5 ,9 ,72 ,"1,098 ","1,154 ",,,,,,,,,
4th quarter,,89 ,4 ,85 ,3 ,4 ,7 ,76 ,"1,110 ","1,162 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2018:  1st quarter,,94 ,6 ,88 ,3 ,4 ,9 ,76 ,"1,022 ","1,079 ",,,,,,,,,
2nd quarter,(r),96 ,8 ,88 ,4 ,5 ,7 ,81 ,"1,103 ","1,142 ",,,,,,,,,
3rd quarter,(p),95 ,5 ,90 ,3 ,5 ,12 ,75 ,"1,104 ","1,125 ",,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
RSE (%),,8 ,24 ,8 ,27 ,25 ,26 ,8 ,4 ,2 ,,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
p  Preliminary.      r  Revised.    ,,,,,,,,,,,,,,,,,,,
A  Represents an RSE that is greater than or equal to 100 or could not be computed.   NA Not available.   RSE Relative Standard Error.,,,,,,,,,,,,,,,,,,,
"S   Withheld because estimate did not meet publication standards on the basis of response rate, associated standard error, or a consistency review.",,,,,,,,,,,,,,,,,,,
Z  Less than 500 units or less than 0.5 percent. ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1 Includes single-family units built for rent that are not shown separately by purpose of construction.,,,,,,,,,,,,,,,,,,,
"2 Ownership of the entire property is acquired, both land and improvements, not a condominium or cooperative ownership.",,,,,,,,,,,,,,,,,,,
"3 Includes units for sale as condominiums or cooperatives; may also include units where ownership of the entire property is acquired, both land and improvements.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Notes: Housing units for which purpose of construction or design type was not reported have been distributed proportionally to those for which the information,,,,,,,,,,,,,,,,,,,
was reported.  Quarterly estimates may not add to the annual figures as the latter include late reports and corrections.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau and U.S. Department of Housing and Urban Development, New Residential Construction, November 20, 2018.",,,,,,,,,,,,,,,,,,,
Additional information on the survey methodology may be found at <www.census.gov/construction/nrc/how_the_data_are_collected/>.,,,,,,,,,,,,,,,,,,,
